chemin,pseudo_label_candidat,confiance_min,accord_3_modeles
../data/mri_dataset_brain_cancer_oc/sans_label/1e88fb67-f3b6-4cd1-a6c0-70ec6c6c3b1e.jpg,normal,0.5,False
../data/mri_dataset_brain_cancer_oc/sans_label/1ca0593f-48ae-478a-b80e-6c70b5fc180c.jpg,normal,0.5,False
../data/mri_dataset_brain_cancer_oc/sans_label/9e6efb0c-a87a-4c26-bcc0-263957bee67b.jpg,normal,0.502,False
../data/mri_dataset_brain_cancer_oc/sans_label/72da5ddd-59cb-48b1-b6f2-28251f644d68.jpg,normal,0.502,False
../data/mri_dataset_brain_cancer_oc/sans_label/8ad33b63-716b-44fd-b0d4-6024718a408f.jpg,normal,0.504,False
../data/mri_dataset_brain_cancer_oc/sans_label/dc7d9dff-d4c3-40a9-b395-241a0b78ac0a.jpg,normal,0.504,False
../data/mri_dataset_brain_cancer_oc/sans_label/322e02de-5c43-40b3-ba94-1c8992d000a9.jpg,normal,0.5060258049909069,False
../data/mri_dataset_brain_cancer_oc/sans_label/d72ef72f-db7a-4581-ad4e-b86cd54f8b6c.jpg,cancer,0.5070215509972584,False
../data/mri_dataset_brain_cancer_oc/sans_label/68c5d327-c169-40d6-b3e6-f0e2f1b3d61b.jpg,cancer,0.5078839793532589,False
../data/mri_dataset_brain_cancer_oc/sans_label/5678f634-63d9-4f7a-8d1e-a5d05a324747.jpg,cancer,0.508,False
../data/mri_dataset_brain_cancer_oc/sans_label/79719c62-efcc-4dcb-b6e3-e4112378795e.jpg,normal,0.508,False
../data/mri_dataset_brain_cancer_oc/sans_label/5e06645e-7143-415b-9489-eb075330037a.jpg,normal,0.5095734913513053,False
../data/mri_dataset_brain_cancer_oc/sans_label/1b9cf459-c862-4782-9464-49f0a37a484d.jpg,normal,0.51,False
../data/mri_dataset_brain_cancer_oc/sans_label/5161b562-dee2-4274-bfa3-71ee764d2f3a.jpg,cancer,0.5107945006797946,False
../data/mri_dataset_brain_cancer_oc/sans_label/ed723d8e-2323-4570-87a3-938e3e1c3a32.jpg,normal,0.512,False
../data/mri_dataset_brain_cancer_oc/sans_label/69abbee9-403a-4850-84e6-d7817ea07054.jpg,normal,0.514,False
../data/mri_dataset_brain_cancer_oc/sans_label/d725d761-4d3e-462e-a0e6-8d86aac7930b.jpg,cancer,0.514,False
../data/mri_dataset_brain_cancer_oc/sans_label/1cbec944-70f1-415e-a62d-192ca92c0cf9.jpg,cancer,0.5171029326935379,False
../data/mri_dataset_brain_cancer_oc/sans_label/aa461b31-5cc7-4dbf-9519-24197370f2b2.jpg,normal,0.518,False
../data/mri_dataset_brain_cancer_oc/sans_label/5cab86f2-5334-48fa-89b8-29ec76dc8e0e.jpg,normal,0.518,False
../data/mri_dataset_brain_cancer_oc/sans_label/0cca1e2e-17f6-4f0d-a3f6-c2af1ca03d8a.jpg,normal,0.521106630570518,False
../data/mri_dataset_brain_cancer_oc/sans_label/aead6025-7446-4bca-b635-12e9ad466fe3.jpg,cancer,0.5215591256661366,False
../data/mri_dataset_brain_cancer_oc/sans_label/e70d0fb8-18b5-4d81-9e36-770a43ff8bc0.jpg,normal,0.522,False
../data/mri_dataset_brain_cancer_oc/sans_label/82903e03-950e-4a82-acde-768e5604b1d2.jpg,cancer,0.522,False
../data/mri_dataset_brain_cancer_oc/sans_label/fc82dbe0-6824-4ac8-a4a0-612f5ea53a98.jpg,normal,0.5224048091197704,False
../data/mri_dataset_brain_cancer_oc/sans_label/64621ec7-b7c0-49ab-80d4-effba160d22c.jpg,normal,0.522419784759097,False
../data/mri_dataset_brain_cancer_oc/sans_label/9e3c9103-8fa7-4fa6-b253-30babf2718fc.jpg,normal,0.5233238518738006,False
../data/mri_dataset_brain_cancer_oc/sans_label/f0b03911-2262-43b9-9e50-30a1bf93f2e0.jpg,normal,0.5235232003911406,False
../data/mri_dataset_brain_cancer_oc/sans_label/ea0f9b11-26a3-4c46-b323-81010860c9b1.jpg,normal,0.524,False
../data/mri_dataset_brain_cancer_oc/sans_label/2fac4138-8d2b-45bb-811b-0f0890b0af58.jpg,normal,0.524812434742046,False
../data/mri_dataset_brain_cancer_oc/sans_label/a6e0f28f-6638-4af9-bd2e-2dc8816a7971.jpg,normal,0.526,False
../data/mri_dataset_brain_cancer_oc/sans_label/6b4861c4-0479-49a9-8022-4de4fd6ced6e.jpg,cancer,0.5267880781560964,False
../data/mri_dataset_brain_cancer_oc/sans_label/df1daf0e-8da4-4cb2-b0d9-b539980d292b.jpg,cancer,0.528,False
../data/mri_dataset_brain_cancer_oc/sans_label/11f03e5d-e170-46cd-a732-e0a47e31ddd0.jpg,normal,0.528,False
../data/mri_dataset_brain_cancer_oc/sans_label/4c7dd03b-a2d7-4008-9f72-b62d0f958e63.jpg,cancer,0.53,False
../data/mri_dataset_brain_cancer_oc/sans_label/a2662c2f-32e2-490d-aece-f0aab3577c95.jpg,cancer,0.53,False
../data/mri_dataset_brain_cancer_oc/sans_label/281e0073-c700-4afe-80a6-560e62e13c9a.jpg,cancer,0.53,False
../data/mri_dataset_brain_cancer_oc/sans_label/b86b9957-2c27-46b3-a81d-67a7d0dca889.jpg,normal,0.53,False
../data/mri_dataset_brain_cancer_oc/sans_label/ea1df053-c052-4e74-a728-af2a197589b8.jpg,normal,0.5314304247544002,False
../data/mri_dataset_brain_cancer_oc/sans_label/6f8b8969-a7da-4427-b0de-381f8bba0392.jpg,normal,0.532,False
../data/mri_dataset_brain_cancer_oc/sans_label/4e3b417f-147f-4fe8-8539-e21bdf25ae7c.jpg,normal,0.532,False
../data/mri_dataset_brain_cancer_oc/sans_label/dd1afec0-2697-45b5-a0f2-e4e26acfce72.jpg,normal,0.536,False
../data/mri_dataset_brain_cancer_oc/sans_label/0c2d6a27-24c2-43ff-9743-f080dca7d2aa.jpg,cancer,0.536,False
../data/mri_dataset_brain_cancer_oc/sans_label/6b28f672-9bbc-4716-98bc-ceae9b69fb7f.jpg,cancer,0.536,False
../data/mri_dataset_brain_cancer_oc/sans_label/a526c83b-fb91-497a-aded-94e0c8f5a352.jpg,cancer,0.5372838997558669,False
../data/mri_dataset_brain_cancer_oc/sans_label/bc0d40fa-a3fa-441b-bc86-b54ce94e2d7a.jpg,cancer,0.5373590825763698,False
../data/mri_dataset_brain_cancer_oc/sans_label/e69bc3be-ff42-4189-b00a-bc077cf2a284.jpg,cancer,0.5388335599058086,False
../data/mri_dataset_brain_cancer_oc/sans_label/438833fd-6e2c-4a08-915e-dd984764fa0e.jpg,cancer,0.5413732780475978,False
../data/mri_dataset_brain_cancer_oc/sans_label/0a82d661-71fa-4297-a271-e0f105fb5493.jpg,cancer,0.542,False
../data/mri_dataset_brain_cancer_oc/sans_label/a506ca92-55af-4bb7-a08e-0680c32a0204.jpg,normal,0.542,False
../data/mri_dataset_brain_cancer_oc/sans_label/fac74fac-c0ed-45d1-853a-482ac8bf14f9.jpg,normal,0.544,False
../data/mri_dataset_brain_cancer_oc/sans_label/2a1ec20f-9ca1-4804-b5cf-301be078be80.jpg,cancer,0.544,False
../data/mri_dataset_brain_cancer_oc/sans_label/12067690-f1f6-4efc-b570-afc510336f10.jpg,normal,0.55,False
../data/mri_dataset_brain_cancer_oc/sans_label/f4047893-67fd-4a03-b0b6-dd7ecde83e41.jpg,cancer,0.5511198305589144,False
../data/mri_dataset_brain_cancer_oc/sans_label/7afb826f-4af1-4221-88ab-35830086a5df.jpg,cancer,0.552,False
../data/mri_dataset_brain_cancer_oc/sans_label/448dad51-615d-4a17-84bc-588412fb79f4.jpg,normal,0.552,False
../data/mri_dataset_brain_cancer_oc/sans_label/c849d1d1-4c2e-4724-a671-3f6d42f77bfa.jpg,normal,0.552,False
../data/mri_dataset_brain_cancer_oc/sans_label/9529bbba-150f-43eb-b28a-e80894439090.jpg,cancer,0.5528158172417199,False
../data/mri_dataset_brain_cancer_oc/sans_label/d13b0b94-56e2-42b4-ba15-118e88182695.jpg,cancer,0.554,False
../data/mri_dataset_brain_cancer_oc/sans_label/1890fd3b-fbd5-49e8-86d8-ffedb7e73814.jpg,normal,0.556,False
../data/mri_dataset_brain_cancer_oc/sans_label/fa19fe6b-0859-4a56-94dd-62c88812fd23.jpg,cancer,0.5573841522968229,False
../data/mri_dataset_brain_cancer_oc/sans_label/2912ea6b-9800-49be-95bf-43b21cc4d196.jpg,cancer,0.5577354031365717,False
../data/mri_dataset_brain_cancer_oc/sans_label/f7227dc6-cfd1-486b-a85f-9a9ec21766f3.jpg,normal,0.5579852139819061,False
../data/mri_dataset_brain_cancer_oc/sans_label/eb986a31-64da-4e15-8246-16f8f6668649.jpg,normal,0.558,False
../data/mri_dataset_brain_cancer_oc/sans_label/03bd85ef-651a-4f93-8569-786dbfd37965.jpg,cancer,0.56,False
../data/mri_dataset_brain_cancer_oc/sans_label/3bf6c1a5-f039-4408-8034-4c575ab55e7b.jpg,normal,0.56,False
../data/mri_dataset_brain_cancer_oc/sans_label/5df0a274-ccd4-4403-ac8c-453f51ffeedc.jpg,cancer,0.562,False
../data/mri_dataset_brain_cancer_oc/sans_label/8e081513-46fe-441d-b4a0-54d770656a08.jpg,cancer,0.564,False
../data/mri_dataset_brain_cancer_oc/sans_label/be754d13-4280-4fde-a6f1-cd8b899bd71a.jpg,cancer,0.566,False
../data/mri_dataset_brain_cancer_oc/sans_label/aa5fc6b7-117f-4ee3-a003-5cf4fe092ae8.jpg,cancer,0.5679593686132873,False
../data/mri_dataset_brain_cancer_oc/sans_label/8495307e-e6a0-491e-a810-cca61958f4b2.jpg,normal,0.57,False
../data/mri_dataset_brain_cancer_oc/sans_label/df9ced05-9dc8-4d23-9b5b-ba587bd8d732.jpg,normal,0.572,False
../data/mri_dataset_brain_cancer_oc/sans_label/ee966356-43c4-4f71-9de8-6e958eda1667.jpg,normal,0.572,False
